id,screen_name
920864063856496640,AlexisNez17
920863476322590720,MacaEspinozaaS
920862486026506240,Ernesto53929864
917872852375867393,elieli_soto
318716166,helenmadariaga
904467580928360448,gonzalocastro95
855075131307298816,pedrotrejo908
920858326589759488,JoseMan75315217
916925057385091072,las_gema
3436959598,sebaxtian_HD
920858346995044352,Alejand60873549
920855385367511040,linea_ilusion
920856474024402949,amigo_roca
920856404445057024,javiera_Guz
917967091399036928,EugeniaLuks
920855893620731904,jeonjun00930853
920855308766937089,EvelynUriarte4
920854699481403392,Javier019770021
920847430224105472,John_observador
920852858156838913,gilibertodiaz
920853330464792576,BarbaraFierro18
920852589184520192,UlloaNibaldo
920852891392454661,Patyzambra1
587526755,2dodadan
920851976170196992,jhovanni2811
907974525761081344,VignoliOrnella
920851026063843329,humbleart097
920849832507518976,Belarminocifue2
920848850310615040,mauchamorr
920849677142110209,Albenizde
917720158801727491,peluchitas17
920848850419625984,BrayanVicencio7
703961968,LabbeParad
920848268074082304,Katheri99713821
920845113865265152,YinHo9
920846859127721984,Cristin60828920
3244235463,PivetCeci
920846196310204416,Coronaj26111008
920845802452537349,BTSVaAGanarPrro
867552826670669824,jecasnbk
920844442482937857,mariafe10_01_16
920843936574398464,Isi505H
920844105348993024,VotaBTSMAMA2017
920843685780164608,qibpqmnezoro201
920843519698366465,AnaMara58855965
920842498045546496,carofiguejofre
920842184689143808,cortesmacka94
920842189520949249,StaigAndrew
917392858608435200,VctorNorambuen1
920841660376014848,Jesus40725312
920841550132891649,DannaEndira
920840866159357959,liamoenap
920840101021798400,MarceloMserey
920839799027699712,RodolfoDiazBar1
920840744423837696,gongora_bruno
920836534168883200,AlvrezFaundez
433055385,Edithersa
899812731347496960,MariaJe50474189
920839313897742337,Roy75805230
2925085896,aafcaafc
920839030065061889,BarbaritaGaray
920838462424649729,Samy92562867
920836990786048000,MTUQ9YtgDzjoohc
920327033217052673,chavezig22
920835909683163136,JoseChandiaPea2
920837135325900800,Josuee_Azul12
920838096408760321,Rodrigo75462212
920837449424801794,Cristia75859343
920836810451968000,Anasol98787057
920835775335460869,vale1D1820
420488132,juanhijo2011
920836151254114304,nickoldea18
917521634990411776,yaenez
920836455106215937,AlonsoBarvo
915485189093998592,theyogawiz_com
920834923786833921,daiana_anclada
920835513254383618,FrankQuirozALV1
920834671730135040,prisibrown
920834825480818689,qogcgspuvu2328
917777018703491072,Valenti95432064
920832847556079616,zfbpvwmy866
920833149462024193,Eli_Hipp
920833630800433154,HioukaHup
3092465247,aclisiochico1
920829012762595329,Karen51044861
920832283682263041,Nicole24265
444187649,jquincl
920830707253039104,DavidAvelinoGo1
916698619142725632,DavidArdiles5
920830141718286336,ta_jeki
920832286270152705,Cris54053422
920831977594478592,omar51369407
920831928315666432,osoabrazable5
920831720399699969,Karen05945461
920830519717318659,khyhscrsozk2584
920831168945287168,Patrici4o
825687378266357761,MelgarejoJer
920812710006226944,CARLOSTANGGT
920830261536976896,BucetaMendo
920830576810176513,CorreMelany
id,screen_name
157115359,felipeignaciopp
920830178095398912,richoydiego1
920829598627135488,Queno54123144
920827415055798272,knijfuikm2283
920829730689044481,Leonard79692835
880238857349935105,Jeanett86930212
920829163325591553,Ivethariza
920829354942369792,Marcos_Taborga
765281291696795648,BanqueteriaSaqu
920710288126742534,palemaea
920828079550889984,AlvertoPavez
920828829475704832,Rodrigo81288838
920828559236661248,comazcwjndv559
920828944378683392,jimmy_exavier
920828676752670720,GermanRubio1809
920828350905626624,Benjami14984841
920827663065014278,AntoniaDiazAgu2
920827493942218752,Anibal19621877
920827699282825216,1616_silva
920826628418269190,MauricioInost20
920827327818366976,DianaMa15445720
920826116679618560,VictorV39978079
920827101678391304,Juan29844191
920825957912596480,IsraelV74893159
920825423050825728,vicase4
920827170934673409,ClaudioLobosRe1
920826307021242369,maxi_juegos
920826694453420032,Marco13563672
920825797224562688,elRomperedes11
918288243724038144,Rodrigo39705125
920825769517113344,capitancampitos
920825434299871233,michell60892921
920825051280224257,Csalazar977
920823099628687361,LuisConchaSch
920824544297914368,ReskeArizu
2860386572,beluuroman12
920822678457643019,CristofferGonz1
920822449670848512,BLlayllay
52276459,IRMIA
920821732356784128,vclljobsyjgdv21
920820675065057280,Joseolivares197
920821255154126848,ValeskaLabra1
920820212328468482,ozqbhsgighrh211
920820574405955584,NormaRain1
920794860143161344,valdes_vil
920821091253346305,JoseToledoTole2
920820735844679681,RayenRodriguez4
920812922280009728,fcerdacabrera
918177846002094080,Beth_7rk
920820513555013632,Sebasti61371673
920820036964626432,Simon_n23
920819897936044034,maxtiasrotapia
920819244450959360,RosaElianaRive1
920819089693650944,Cesaryp93
882053060008312837,Josemalasjuntas
920818331443253248,AntonioMardone6
920817739798892544,irwutyaymihpq21
920819182614335488,diegovoxo
920818746419277824,FranchescaCnco1
920816387148451840,luzdelmundosan1
917906924305305600,Loreto70347864
920817534554771457,atoc_j
778312033880137728,carlosgtav1
920818389983121408,YARITZAPRINCES4
